work_year,job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Engineer,Data Engineering,180514,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Data Engineer,Data Engineering,108308,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Machine Learning Engineer,Machine Learning and AI,200000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,163800,United States,Entry-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,319000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,206000,United States,Senior,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,240000,United States,Senior,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,210000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,154000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,126000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,219650,United States,Executive,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,136000,United States,Executive,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,180000,United States,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,125000,United States,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,190000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,170000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,202600,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,168800,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,132000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,111000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,203000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,127000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,125009,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,112200,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,185000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,166000,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,170000,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,135000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,226700,Canada,Senior,Full-time,Remote,Canada,M
2023,Machine Learning Engineer,Machine Learning and AI,151100,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,247300,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,139700,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,188000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,139000,United States,Senior,Full-time,Remote,United States,M
2023,Data Manager,Leadership and Management,127000,United States,Mid-level,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,250000,United States,Executive,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,210000,United States,Executive,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,188000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,139000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,158500,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Scientist,Data Science and Research,115000,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,109000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,160000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,186030,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,110200,United States,Senior,Full-time,Remote,United States,M
2023,Research Engineer,Data Science and Research,130000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,220000,United States,Executive,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,120000,United States,Executive,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,192000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,178000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,210000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,180000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,135000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,170000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,160000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,185400,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,170000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,192500,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,140000,United States,Senior,Full-time,Remote,United States,M
2023,Head of Data,Leadership and Management,258500,United States,Senior,Full-time,Remote,United States,M
2023,Head of Data,Leadership and Management,226500,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,172256,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Data Scientist,Data Science and Research,123040,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Data Analyst,Data Analysis,143000,Canada,Senior,Full-time,Remote,Canada,M
2023,BI Analyst,BI and Visualization,202000,United States,Senior,Full-time,Remote,United States,M
2023,BI Analyst,BI and Visualization,147000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,135000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,297300,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,198200,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,240000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,190000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,110000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,200000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,150000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,234000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,208000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,187000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,128000,United States,Senior,Full-time,Remote,United States,M
2023,BI Analyst,BI and Visualization,202000,United States,Senior,Full-time,Remote,United States,M
2023,BI Analyst,BI and Visualization,147000,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,150000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,140000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,280000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,190000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,300000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,195000,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,190000,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Architect,Data Architecture and Modeling,107500,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Analyst,Data Analysis,140000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,236160,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,159408,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,115000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,120350,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,158494,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,110000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,133200,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,205000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,166000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,160000,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,120000,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,158600,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,115300,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Integration Engineer,Data Engineering,161000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,150000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,216000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,184000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,166000,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Scientist,Data Science and Research,104000,Canada,Senior,Full-time,Remote,Canada,M
2023,Business Intelligence Engineer,BI and Visualization,108500,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Manager,BI and Visualization,160000,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Manager,BI and Visualization,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,105000,Portugal,Mid-level,Full-time,Remote,Portugal,M
2023,Analytics Engineer,Leadership and Management,175000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,160000,United States,Senior,Full-time,Remote,United States,M
2023,Data Integration Specialist,Data Management and Strategy,240000,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,190000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,160000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,160000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,180250,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,118000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,157500,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,132500,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,171000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,152000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Developer,BI and Visualization,140000,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Developer,BI and Visualization,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,180000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,118200,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,354200,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,221800,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,156600,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,137200,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,187000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,180000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,105000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,102000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,169900,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,164100,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,105000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,225100,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,140900,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,156450,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,119200,United States,Entry-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,150000,United States,Senior,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,175000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,328400,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,205600,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,215000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,169850,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,210000,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,115000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,175000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,120350,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,263500,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,189360,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,310000,United States,Senior,Full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,206000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,131000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,AI Architect,Machine Learning and AI,305100,United States,Senior,Full-time,Remote,United States,M
2023,AI Architect,Machine Learning and AI,146900,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,150000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Strategist,Data Architecture and Modeling,119636,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,118118,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Data Engineer,Data Engineering,135000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,110000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,200000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,180000,United States,Senior,Full-time,Remote,United States,M
2023,Director of Data Science,Data Science and Research,246080,United Kingdom,Executive,Full-time,Remote,United Kingdom,M
2023,Director of Data Science,Data Science and Research,184560,United Kingdom,Executive,Full-time,Remote,United Kingdom,M
2023,Data Scientist,Data Science and Research,168000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,105000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,157000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,125000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,190000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,140000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,101570,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,177000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,118000,United States,Senior,Full-time,Remote,United States,M
2023,ML Engineer,Machine Learning and AI,114979,Australia,Senior,Full-time,Remote,Australia,L
2023,Data Scientist,Data Science and Research,136000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,104000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,143000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,117000,United States,Mid-level,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,216000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,184000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,110000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,275300,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,183500,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,230000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,196000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,253000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,172040,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,234000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,178000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,164000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,258900,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,176080,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,120000,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,110000,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,160000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,140000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,207000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,141000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,175000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,126500,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,120000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,174500,United States,Executive,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,113000,United States,Executive,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,227000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,185000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,185000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,230000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,196000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,216000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,184000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,212175,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,156000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,111151,United States,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,197802,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,156453,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,180000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,122400,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,227500,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,147500,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,150000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Science Engineer,Data Science and Research,220000,United States,Senior,Full-time,Remote,United States,M
2023,Data Science Engineer,Data Science and Research,180000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,190000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,130000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,United States,Mid-level,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,172200,United States,Mid-level,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,131200,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Strategy Manager,Data Management and Strategy,250000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,178000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,165000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,235000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,204000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,130000,United States,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,198000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,132000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,125000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,115000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,150000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,125000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,115000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,101570,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,115000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,160000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,218213,United States,Senior,Full-time,Remote,United States,M
2023,Applied Scientist,Data Science and Research,178538,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,189750,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,119213,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,250944,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,205318,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,218213,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,178538,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,215625,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,159375,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,170000,United States,Senior,Full-time,Remote,United States,M
